Acronym,Definition,Meaning,Department,Team/Area
FHEQ,Framework for Higher Education Qualifications,"Applies to degrees, diplomas, certificates and other academic awards granted by a university or higher education college (apart from honorary degrees and higher doctorates). The FHEQ broadly corresponds with levels 4 to 8 of the National Qualifications Framework, in terms of the demands the qualifications place on learners.Source: {GOV.UK|https://www.gov.uk/what-different-qualification-levels-mean} accessed 2015-06-04",DfE,
FI,Fraud Investigator,,,
FI,Financial Investigator,,,
FIA,Financial Investigator Assistant,,,
FIP,Family intervention projects,"Takes a whole family approach to help solve issues such as poor physical and mental health, domestic violence, substance misuse, a lack of basic and life skills and behavioural problems.",DfE,
FIS,,,MoJ,
FIT,Feed-in-Tariff,Feed-in-Tariff renewable electricity scheme,BEIS,Energy Policy
FITB,Film Industry Training Board,,DfE,
FITS,Future IT Sourcing Programme,or is the S 'sourcing'? Yes,MoJ,
FIU,Financial Investigation Unit,,,
FL,Flexible learning,,DfE,
FLA,Foreign Language Assistant,Source: The Knowledge accessed 2019-05-07,DfE,
FLC,Flexible Learning Centre,Source: The Knowledge accessed 2019-05-07,DfE,
FLO,Family Liaison Officer,,MoJ,
FLS,Future Leaders’ Scheme,,Cabinet Office,FSET
FLS,Future Leaders Scheme,,DfE,
FLS,Frontline Services,,,
FLSM,Frontline Line Service Management,,,
FLT,Foundation Learning Tier,"Used to describe Entry level and Level 1 qualifications in the Qualifications and Credit Framework (QCF), operating in England only. Its overall aim is to reform provision for all learners working towards Entry level and Level 1 qualifications.",DfE,
FM,Finance Manager,,,
FM (facilities),Facilities management,,DfE,
FM (marriage),Forced marriage,"A marriage conducted without the valid consent of both people, where pressure or abuse is used.Source: {GOV.UK|https://www.gov.uk/forced-marriage} accessed 2015-06-04",DfE,
FMA,Foundation Modern Apprenticeship,Foundation Modern Apprenticeship (but not Foundation Modern Apprentice),DfE,
FMB,Functional Mailbox,,MoJ,
FMD,Falsified Medicines Directive,,BEIS,UK Vaccines Taskforce
FMDS,Financial Management Development Scheme,Source: The Knowledge accessed 2019-05-07,DfE,
FMI,Five Minute Intervention,Prisons,MoJ,
FMSiS,Financial Management Standard in Schools,"Michael Gove, then Secretary of State for Education announced the decision on 15 November 2010 to end FMSiS with immediate effect and develop a simpler standard as a replacement. Links/Further Information Source: {DfE Website|http://www.education.gov.uk/schools/adminandfinance/financialmanagemen} accessed 2019-05-07Source: The Knowledge accessed 2019-05-07",DfE,
FMSP,Further Mathematics Support Programme (2005-2018),"20052018 The key aim of the FMSP is to increase the number of students studying further mathematics A level. Funding is used to target schools and colleges where no students are currently taking further mathematics, providing support to improve and extend their mathematics provision.Source: {GOV.UK|https://www.gov.uk/governmentews/25m-to-help-boost-number-of-pupils-studying-further-maths-a-level} accessed 2015-06-04",DfE,
FNA,Future needs Assessment,,,
FNC,First Night Centre,Prisons,MoJ,
FNP,Foreign National Prison or Foreign National Prisoner,Prisons,MoJ,
FNPP,Family Nurse Partnership Programme,"A preventive programme for young first time mothers. It offers intensive and structured home visiting, delivered by specially trained nurses (Family Nurses), from early pregnancy until the child is two. This is a Department of Health scheme",DfE,
FNtI,Financial notices to improve (academies),,DfE,
FO,Finance Officer,,,
FOC,Full Operating Capability,,BEIS,UK Vaccines Taskforce
FOH,Front of House,,DWP,
FoI,Freedom of Information,,Civil Service Wide,
FOI,Freedom of information,,DfE,
FOI,Freedom Of Information,,MoJ,
FOI,Freedom of Information,,NHSx,Org Wide
FOI ,Freedom of Information,,DLUHC,
FOIA,Freedom of Information Act,,,
FOT,First Of Type,,NHSx,Org Wide
FPA,Fraud Partnership Agreement,,,
FPBS,FINANCIAL PROFESSIONAL BUSINESS SERVICES,,DIT,
FPMF,FITS Programme Management Framework,This was part of the overall governance framework for FITS.,MoJ,
FPMT,Finance and Performance Management Team,,,
FPRC,Family Procedure Rules Committee,"The Family Procedure Rule Committee (FPRC) makes rules of court that govern the practice and procedure followed in family proceedings in the High Court and family court.FPRC is an advisory non-departmental public body, sponsored by the Ministry of Justice.",MoJ,
FPU (departmental organisational unit),Funding Policy Unit,,DfE,
FRA,Full Roll-Out Approval,,NHSx,Org Wide
FRAIMS,Fraud Referral and Intervention Management System,,,
FRC,Financial Reporting Council,Source: The Knowledge accessed 2019-05-07,DfE,
FRESA,Frameworks for Regional Employment and Skills Action,"The Frameworks for Regional Employment and Skills Action (FRESA) were commissioned by the Government in 2001. They are plans, developed and led by Regional Development Agencies (RDAs) and their partners, to tackle the skills and employment needs of regional economies. Each region has its own FRESA, drawn up by the RDA in partnership with employers, trade unions and others.Source: The Knowledge accessed 2019-05-07",DfE,
FRET,Fundamental Review of Education and Training,,DfE,
FRF,Fraud Referral Form,,,
FRP,Full Record Print,,,
FRPS,Financial Resources and Payment for Services,,MoJ,
FRRP,Financial Reporting Review Panel,Source: The Knowledge accessed 2019-05-07,DfE,
FRS,Family Resources Survey,,DfE,
FRU (departmental organisational unit),Flexible Resource Unit,,DfE,
FS,Foreign Secretary,,BEIS,UK Vaccines Taskforce
FS,Foundation stage,3-5 year olds.,DfE,
FS,Field Services,,,
FSA,Financial Services Authority,Source: The Knowledge accessed 2019-05-07,DfE,
FSB,Federation of Small Businesses,The Federation of Small Businesses is the UK's largest campaigning pressure group promoting and protecting the interests of the self-employed and owners of small firms. Formed in 1974.Source: {FSB website|http://www.fsb.org.uk/} accessed 2015-06-04,DfE,
FSC (contracts),Future Service Contracts,,DfE,
FSC (departmental organisational unit),Free Schools Capital Directorate,,DfE,
FSCM,Forensic Services Contract Management,,,
FSD,Financial Services Division,,,
FSD (departmental organisational unit),Free Schools Directorate,Year(s) active (where known): 2018-,DfE,
FSET,Fast Stream & Early Talent,,Civil Service Wide,
FSG (departmental organisational unit),Free Schools Group,Year(s) active (where known): 2016-2018,DfE,
FSM,Free school meals,,DfE,
FSMever6,Ever 6 FSM,"Ever 6 FSM The pupil premium for 2017 to 2018 will include pupils recorded in the January 2017 school census who are known to have been eligible for free school meals (FSM) since May 2011, as well as those first known to be eligible at January 2017.Source: {GOV.UK|https://www.gov.uk/government/publications/pupil-premium-conditions-of-grant-2017-to-2018/pupil-premium-conditions-of-grant-2017-to-2018} accessed 2018-04-17",DfE,
FSP,Foundation Stage Profile,"Introduction The Foundation Stage Profile is a way of summing up a child's progress and learning across the six areas of learning at the end of the foundation stage. The profile is made up of 13 scales based on the early learning goals and stepping stones set out in Curriculum guidance for the foundation stage. The Foundation Stage Profile Handbook provides guidance for practitioners on how to make assessments on the basis of their observations and knowledge of the whole child. Recording attainment A child's attainment on the 13 scales can be recorded in a Foundation Stage Profile booklet or the eProfile. These are optional; schools and settings may want to use their own systems. Whichever is used, there is no need for extensive collections of evidence for individual children and no need to complete more than one record. Using the stepping stones and early learning goals The stepping stones and Early Learning Goals are used throughout the foundation stage for planning and assessing learning. The stepping stones (non-statutory) show the kind of knowledge, skills, understanding and attitudes that children are expected to need if they are to achieve the early learning goals. The early learning goals, which are statutory, establish the expectations for most children by the end of the foundation stage. Curriculum guidance for the foundation stage provides examples of 'what children do' that will help practitioners identify how children in their setting are progressing. Fit with Key Stage 1 The foundation stage areas of learning can be mapped onto the subject-based KS1 curriculum. How schools organise the curriculum in KS1 is for them to decide and there is sufficient flexibility for schools to adapt the content and pedagogy to their children's needs. The National Assessment Agency (NAA) is developing guidance for teachers on using the foundation stage profile data to plan for children's progression in Year 1.Source: The Knowledge accessed 2019-05-07",DfE,
